,category,num_Assay_Obs
457,hasCE_AGE_yrBIN_7_item_5226,877
458,hasCE_AGE_yrBIN_7_item_5218,877
459,hasCE_AGE_yrBIN_7_item_5212,579
460,hasCE_AGE_yrBIN_7_item_5213,296
461,hasCE_AGE_yrBIN_7_item_5256,124
462,hasCE_AGE_yrBIN_7_item_5097,587
463,hasCE_AGE_yrBIN_7_item_5225,875
464,hasCE_AGE_yrBIN_7_item_5059,129
465,hasCE_AGE_yrBIN_7_item_5224,876
466,hasCE_AGE_yrBIN_7_item_5248,872
467,hasCE_AGE_yrBIN_7_item_5238,289
468,hasCE_AGE_yrBIN_7_item_5215,877
469,hasCE_AGE_yrBIN_7_item_5235,876
470,hasCE_AGE_yrBIN_7_item_5236,289
471,hasCE_AGE_yrBIN_7_item_5245,73
472,hasCE_AGE_yrBIN_7_item_5114,587
473,hasCE_AGE_yrBIN_7_item_5099,587
474,hasCE_AGE_yrBIN_7_item_5257,875
475,hasCE_AGE_yrBIN_7_item_5113,587
476,hasCE_AGE_yrBIN_7_item_5115,587
477,hasCE_AGE_yrBIN_7_item_5132,587
478,hasCE_AGE_yrBIN_7_item_6316,552
479,hasCE_AGE_yrBIN_7_item_5094,552
480,hasCE_AGE_yrBIN_7_item_5511,1
481,hasCE_AGE_yrBIN_7_item_5129,587
482,hasCE_AGE_yrBIN_7_item_5141,587
483,hasCE_AGE_yrBIN_7_item_5024,179
484,hasCE_AGE_yrBIN_7_item_5120,522
485,hasCE_AGE_yrBIN_7_item_5136,576
486,hasCE_AGE_yrBIN_7_item_5075,179
487,hasCE_AGE_yrBIN_7_item_5002,564
488,hasCE_AGE_yrBIN_7_item_5078,181
489,hasCE_AGE_yrBIN_7_item_5025,179
490,hasCE_AGE_yrBIN_7_item_5492,562
491,hasCE_AGE_yrBIN_7_item_5626,433
492,hasCE_AGE_yrBIN_7_item_5821,138
493,hasCE_AGE_yrBIN_7_item_5038,196
494,hasCE_AGE_yrBIN_7_item_5227,871
495,hasCE_AGE_yrBIN_7_item_5174,248
496,hasCE_AGE_yrBIN_7_item_5186,251
497,hasCE_AGE_yrBIN_7_item_5161,248
498,hasCE_AGE_yrBIN_7_item_6165,10
499,hasCE_AGE_yrBIN_7_item_6183,0
500,hasCE_AGE_yrBIN_7_item_6095,0
